"sample","estimate","se","ci_lower","ci_upper","n_treated","n_control"
"Raw aligned",0.812937357540927,0.334733458543854,0.156859778794973,1.46901493628688,295,295
"Raw non-restricted",0.652160692336635,0.261331617567679,0.139950721903984,1.16437066276929,386,386
"Replication",0.866654052210935,0.298415840143155,0.281759005530351,1.45154909889152,295,295
